Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,
1/22/2020,Peru,,-9.19,-75.0152,0,0,0
1/23/2020,Peru,,-9.19,-75.0152,0,0,0
1/24/2020,Peru,,-9.19,-75.0152,0,0,0
1/25/2020,Peru,,-9.19,-75.0152,0,0,0
1/26/2020,Peru,,-9.19,-75.0152,0,0,0
1/27/2020,Peru,,-9.19,-75.0152,0,0,0
1/28/2020,Peru,,-9.19,-75.0152,0,0,0
1/29/2020,Peru,,-9.19,-75.0152,0,0,0
1/30/2020,Peru,,-9.19,-75.0152,0,0,0
1/31/2020,Peru,,-9.19,-75.0152,0,0,0
2/1/2020,Peru,,-9.19,-75.0152,0,0,0
2/2/2020,Peru,,-9.19,-75.0152,0,0,0
2/3/2020,Peru,,-9.19,-75.0152,0,0,0
2/4/2020,Peru,,-9.19,-75.0152,0,0,0
2/5/2020,Peru,,-9.19,-75.0152,0,0,0
2/6/2020,Peru,,-9.19,-75.0152,0,0,0
2/7/2020,Peru,,-9.19,-75.0152,0,0,0
2/8/2020,Peru,,-9.19,-75.0152,0,0,0
2/9/2020,Peru,,-9.19,-75.0152,0,0,0
2/10/2020,Peru,,-9.19,-75.0152,0,0,0
2/11/2020,Peru,,-9.19,-75.0152,0,0,0
2/12/2020,Peru,,-9.19,-75.0152,0,0,0
2/13/2020,Peru,,-9.19,-75.0152,0,0,0
2/14/2020,Peru,,-9.19,-75.0152,0,0,0
2/15/2020,Peru,,-9.19,-75.0152,0,0,0
2/16/2020,Peru,,-9.19,-75.0152,0,0,0
2/17/2020,Peru,,-9.19,-75.0152,0,0,0
2/18/2020,Peru,,-9.19,-75.0152,0,0,0
2/19/2020,Peru,,-9.19,-75.0152,0,0,0
2/20/2020,Peru,,-9.19,-75.0152,0,0,0
2/21/2020,Peru,,-9.19,-75.0152,0,0,0
2/22/2020,Peru,,-9.19,-75.0152,0,0,0
2/23/2020,Peru,,-9.19,-75.0152,0,0,0
2/24/2020,Peru,,-9.19,-75.0152,0,0,0
2/25/2020,Peru,,-9.19,-75.0152,0,0,0
2/26/2020,Peru,,-9.19,-75.0152,0,0,0
2/27/2020,Peru,,-9.19,-75.0152,0,0,0
2/28/2020,Peru,,-9.19,-75.0152,0,0,0
2/29/2020,Peru,,-9.19,-75.0152,0,0,0
3/1/2020,Peru,,-9.19,-75.0152,0,0,0
3/2/2020,Peru,,-9.19,-75.0152,0,0,0
3/3/2020,Peru,,-9.19,-75.0152,0,0,0
3/4/2020,Peru,,-9.19,-75.0152,0,0,0
3/5/2020,Peru,,-9.19,-75.0152,0,0,0
3/6/2020,Peru,,-9.19,-75.0152,1,0,0
3/7/2020,Peru,,-9.19,-75.0152,1,0,0
3/8/2020,Peru,,-9.19,-75.0152,6,0,0
3/9/2020,Peru,,-9.19,-75.0152,7,0,0
3/10/2020,Peru,,-9.19,-75.0152,11,0,0
3/11/2020,Peru,,-9.19,-75.0152,11,0,0
3/12/2020,Peru,,-9.19,-75.0152,15,0,0
3/13/2020,Peru,,-9.19,-75.0152,28,0,0
3/14/2020,Peru,,-9.19,-75.0152,38,0,0
3/15/2020,Peru,,-9.19,-75.0152,43,0,0
3/16/2020,Peru,,-9.19,-75.0152,86,0,0
3/17/2020,Peru,,-9.19,-75.0152,117,1,0
3/18/2020,Peru,,-9.19,-75.0152,145,1,0
3/19/2020,Peru,,-9.19,-75.0152,234,1,0
3/20/2020,Peru,,-9.19,-75.0152,234,1,3
3/21/2020,Peru,,-9.19,-75.0152,318,1,5
3/22/2020,Peru,,-9.19,-75.0152,363,1,5
3/23/2020,Peru,,-9.19,-75.0152,395,1,5
3/24/2020,Peru,,-9.19,-75.0152,416,1,7
3/25/2020,Peru,,-9.19,-75.0152,480,1,9
3/26/2020,Peru,,-9.19,-75.0152,580,14,9
3/27/2020,Peru,,-9.19,-75.0152,635,16,11
3/28/2020,Peru,,-9.19,-75.0152,671,16,16
3/29/2020,Peru,,-9.19,-75.0152,852,16,18
3/30/2020,Peru,,-9.19,-75.0152,950,53,24
3/31/2020,Peru,,-9.19,-75.0152,1065,394,30
4/1/2020,Peru,,-9.19,-75.0152,1323,394,38
4/2/2020,Peru,,-9.19,-75.0152,1414,537,55
4/3/2020,Peru,,-9.19,-75.0152,1595,537,61
4/4/2020,Peru,,-9.19,-75.0152,1746,914,73
4/5/2020,Peru,,-9.19,-75.0152,2281,989,83
4/6/2020,Peru,,-9.19,-75.0152,2561,997,92
4/7/2020,Peru,,-9.19,-75.0152,2954,1301,107
4/8/2020,Peru,,-9.19,-75.0152,4342,1333,121
4/9/2020,Peru,,-9.19,-75.0152,5256,1438,138
4/10/2020,Peru,,-9.19,-75.0152,5897,1569,169
4/11/2020,Peru,,-9.19,-75.0152,6848,1739,181
4/12/2020,Peru,,-9.19,-75.0152,7519,1798,193
4/13/2020,Peru,,-9.19,-75.0152,9784,2642,216
4/14/2020,Peru,,-9.19,-75.0152,10303,2869,230
4/15/2020,Peru,,-9.19,-75.0152,11475,3108,254
4/16/2020,Peru,,-9.19,-75.0152,12491,6120,274
4/17/2020,Peru,,-9.19,-75.0152,13489,6541,300
4/18/2020,Peru,,-9.19,-75.0152,14420,6684,348
4/19/2020,Peru,,-9.19,-75.0152,15628,6811,400
4/20/2020,Peru,,-9.19,-75.0152,16325,6968,445
4/21/2020,Peru,,-9.19,-75.0152,17837,6982,484
4/22/2020,Peru,,-9.19,-75.0152,19250,7027,530
4/23/2020,Peru,,-9.19,-75.0152,20914,7422,572
4/24/2020,Peru,,-9.19,-75.0152,21648,7496,634
4/25/2020,Peru,,-9.19,-75.0152,25331,7797,700
4/26/2020,Peru,,-9.19,-75.0152,27517,8088,728
4/27/2020,Peru,,-9.19,-75.0152,28699,8425,782
4/28/2020,Peru,,-9.19,-75.0152,31190,9179,854
4/29/2020,Peru,,-9.19,-75.0152,33931,10037,943
4/30/2020,Peru,,-9.19,-75.0152,36976,10405,1051
5/1/2020,Peru,,-9.19,-75.0152,40459,11129,1124
5/2/2020,Peru,,-9.19,-75.0152,42534,12434,1200
5/3/2020,Peru,,-9.19,-75.0152,45928,13550,1286
5/4/2020,Peru,,-9.19,-75.0152,47372,14427,1344
5/5/2020,Peru,,-9.19,-75.0152,51189,15413,1444
5/6/2020,Peru,,-9.19,-75.0152,54817,17527,1533
5/7/2020,Peru,,-9.19,-75.0152,58526,18388,1627
5/8/2020,Peru,,-9.19,-75.0152,61847,19012,1714
5/9/2020,Peru,,-9.19,-75.0152,65015,20246,1814
5/10/2020,Peru,,-9.19,-75.0152,67307,21349,1889
5/11/2020,Peru,,-9.19,-75.0152,68822,22406,1961
5/12/2020,Peru,,-9.19,-75.0152,72059,23324,2057
5/13/2020,Peru,,-9.19,-75.0152,76306,24324,2169
5/14/2020,Peru,,-9.19,-75.0152,80604,25151,2267
5/15/2020,Peru,,-9.19,-75.0152,84495,27147,2392
5/16/2020,Peru,,-9.19,-75.0152,88541,28272,2523
5/17/2020,Peru,,-9.19,-75.0152,92273,28621,2648
5/18/2020,Peru,,-9.19,-75.0152,94933,30306,2789
5/19/2020,Peru,,-9.19,-75.0152,99483,36524,2914
5/20/2020,Peru,,-9.19,-75.0152,104020,41968,3024
5/21/2020,Peru,,-9.19,-75.0152,108769,43587,3148
5/22/2020,Peru,,-9.19,-75.0152,111698,44848,3244
5/23/2020,Peru,,-9.19,-75.0152,115754,47915,3373
5/24/2020,Peru,,-9.19,-75.0152,119959,49795,3456
5/25/2020,Peru,,-9.19,-75.0152,123979,50949,3629
5/26/2020,Peru,,-9.19,-75.0152,129751,52906,3788
5/27/2020,Peru,,-9.19,-75.0152,135905,56169,3983
5/28/2020,Peru,,-9.19,-75.0152,141779,59442,4099
5/29/2020,Peru,,-9.19,-75.0152,148285,62791,4230
5/30/2020,Peru,,-9.19,-75.0152,155671,66447,4371
5/31/2020,Peru,,-9.19,-75.0152,164476,67208,4506
6/1/2020,Peru,,-9.19,-75.0152,170039,68507,4634
6/2/2020,Peru,,-9.19,-75.0152,170039,69257,4634
6/3/2020,Peru,,-9.19,-75.0152,178914,72319,4894
6/4/2020,Peru,,-9.19,-75.0152,183198,76228,5031
6/5/2020,Peru,,-9.19,-75.0152,187400,79214,5162
6/6/2020,Peru,,-9.19,-75.0152,191758,82731,5301
6/7/2020,Peru,,-9.19,-75.0152,196515,86219,5465
6/8/2020,Peru,,-9.19,-75.0152,199696,89556,5571
6/9/2020,Peru,,-9.19,-75.0152,203736,92929,5738
6/10/2020,Peru,,-9.19,-75.0152,208823,98031,5903
6/11/2020,Peru,,-9.19,-75.0152,214788,102429,6088
6/12/2020,Peru,,-9.19,-75.0152,214788,107133,6088
6/13/2020,Peru,,-9.19,-75.0152,220749,111724,6308
6/14/2020,Peru,,-9.19,-75.0152,229736,115579,6688
6/15/2020,Peru,,-9.19,-75.0152,232992,119409,6860
6/16/2020,Peru,,-9.19,-75.0152,237156,125205,7056
6/17/2020,Peru,,-9.19,-75.0152,240908,128622,7257
6/18/2020,Peru,,-9.19,-75.0152,244388,131190,7461
6/19/2020,Peru,,-9.19,-75.0152,247925,135520,7660
6/20/2020,Peru,,-9.19,-75.0152,251338,143017,7861
6/21/2020,Peru,,-9.19,-75.0152,254936,141967,8045
6/22/2020,Peru,,-9.19,-75.0152,257447,145320,8223
6/23/2020,Peru,,-9.19,-75.0152,260810,148437,8404
6/24/2020,Peru,,-9.19,-75.0152,264689,151589,8586
6/25/2020,Peru,,-9.19,-75.0152,268602,151225,8761
6/26/2020,Peru,,-9.19,-75.0152,272364,159806,8939
6/27/2020,Peru,,-9.19,-75.0152,275989,164024,9135
6/28/2020,Peru,,-9.19,-75.0152,279419,167998,9317
6/29/2020,Peru,,-9.19,-75.0152,282365,171159,9504
6/30/2020,Peru,,-9.19,-75.0152,285213,174535,9677
7/1/2020,Peru,,-9.19,-75.0152,288477,178245,9860
7/2/2020,Peru,,-9.19,-75.0152,292004,182097,10045
